"","order","family","genus","species","countryCode","stateProvince","year","collectionCode","catalogNumber","latLong"
"1","Anseriformes","Anatidae","Anas","Anas clypeata","US","New Mexico",2004,"Host","MSB:Host:20873","33.7131, -106.9579"
"2","Rodentia","Cricetidae","Microtus","Microtus oeconomus","US","Alaska",1957,"Host","MSB:Host:8107","63.77972, -171.74111"
"3","Carnivora","Canidae","Vulpes","Vulpes lagopus","US","Alaska",1956,"Host","MSB:Host:8282","71.290556, -156.788611"
"4","Anseriformes","Anatidae","Anas","Anas strepera","US","Louisiana",2003,"Host","MSB:Host:15441","29.673044, -92.689903"
"5",NA,"Chilinidae","Chilina","Chilina dombeiana","AR","Rio Negro",2009,"Host","MSB:Host:15602","-41.283333, -71.633333"
"6","Carnivora","Canidae","Vulpes","Vulpes lagopus","US","Alaska",1954,"Host","MSB:Host:4333","63.77972, -171.74111"
"7","Rodentia","Cricetidae","Microtus","Microtus oeconomus","US","Alaska",1957,"Host","MSB:Host:7839","63.77972, -171.74111"
"8","Rodentia","Cricetidae","Lemmus","Lemmus sibiricus","US","Alaska",1954,"Host","MSB:Host:3965","71.290556, -156.788611"
"9","Carnivora","Canidae","Vulpes","Vulpes lagopus","US","Alaska",1953,"Host","MSB:Host:4733","63.681996, -170.482323"
"10","Rodentia","Cricetidae","Microtus",NA,"US","Alaska",1958,"Host","MSB:Host:12798","63.576091, -170.87962"
"11","Carnivora","Mustelidae","Mustela","Mustela erminea","US","Alaska",1954,"Host","MSB:Host:10502","57.6208, -152.30814"
"12","Rodentia","Cricetidae","Lemmus","Lemmus sibiricus","US","Alaska",1954,"Host","MSB:Host:3865","71.290556, -156.788611"
"13",NA,"Physidae","Physella","Physella acuta","US","Colorado",2015,"Host","MSB:Host:21720","38.941897, -106.942548"
"14","Carnivora","Canidae","Vulpes","Vulpes lagopus","US","Alaska",1960,"Host","MSB:Host:12898","63.750849, -171.741111"
"15","Carnivora","Canidae","Vulpes","Vulpes lagopus","US","Alaska",1952,"Host","MSB:Host:4633","70.6366, -160.035736"
"16","Rodentia","Cricetidae","Myodes","Myodes rutilus","US","Alaska",2003,"Host","MSB:Host:10771","59.981389, -152.668333"
